adm_id,adm_code,adm_type,sido_name,sigungu_name,emd_name,full_name
198,198,sigungu,,영광군,,영광군
199,199,sigungu,,장성군,,장성군
200,200,sigungu,,완도군,,완도군
201,201,sigungu,,진도군,,진도군
202,202,sigungu,,신안군,,신안군
203,203,sigungu,,포항시남구,,포항시남구
204,204,sigungu,,포항시북구,,포항시북구
205,205,sigungu,,경주시,,경주시
206,206,sigungu,,김천시,,김천시
207,207,sigungu,,안동시,,안동시
208,208,sigungu,,구미시,,구미시
209,209,sigungu,,영주시,,영주시
210,210,sigungu,,영천시,,영천시
211,211,sigungu,,상주시,,상주시
212,212,sigungu,,문경시,,문경시
213,213,sigungu,,경산시,,경산시
214,214,sigungu,,군위군,,군위군
215,215,sigungu,,의성군,,의성군
216,216,sigungu,,청송군,,청송군
217,217,sigungu,,영양군,,영양군
218,218,sigungu,,영덕군,,영덕군
219,219,sigungu,,청도군,,청도군
220,220,sigungu,,고령군,,고령군
221,221,sigungu,,성주군,,성주군
222,222,sigungu,,칠곡군,,칠곡군
223,223,sigungu,,예천군,,예천군
224,224,sigungu,,봉화군,,봉화군
225,225,sigungu,,울진군,,울진군
226,226,sigungu,,울릉군,,울릉군
227,227,sigungu,,진주시,,진주시
228,228,sigungu,,통영시,,통영시
229,229,sigungu,,사천시,,사천시
230,230,sigungu,,김해시,,김해시
231,231,sigungu,,밀양시,,밀양시
232,232,sigungu,,거제시,,거제시
233,233,sigungu,,양산시,,양산시
234,234,sigungu,,창원시의창구,,창원시의창구
235,235,sigungu,,창원시성산구,,창원시성산구
236,236,sigungu,,창원시마산합포구,,창원시마산합포구
237,237,sigungu,,창원시마산회원구,,창원시마산회원구
238,238,sigungu,,창원시진해구,,창원시진해구
239,239,sigungu,,의령군,,의령군
240,240,sigungu,,함안군,,함안군
241,241,sigungu,,창녕군,,창녕군
242,242,sigungu,,고성군,,고성군
243,243,sigungu,,남해군,,남해군
244,244,sigungu,,하동군,,하동군
245,245,sigungu,,산청군,,산청군
246,246,sigungu,,함양군,,함양군
247,247,sigungu,,거창군,,거창군
248,248,sigungu,,합천군,,합천군
249,249,sigungu,,제주시,,제주시
250,250,sigungu,,서귀포시,,서귀포시
