rule_id,zone_id,identifier,airspace_type,airspace_name,composition_op,upper_limit,upper_unit,lower_limit,lower_unit,airspace_class,altitude_interpretation,match_method
101,101,YANGPYEONG,ATZ,YANGPYEONG ATZ,BASE,1 500,FT,FLOOR,,D,ABOVE_LOWER,identifier_in_text
102,102,YONGIN,ATZ,YONGIN ATZ,BASE,1 500,FT,FLOOR,,D,ABOVE_LOWER,identifier_in_text
103,103,YOUNGCHEON,ATZ,YOUNGCHEON ATZ,BASE,1 500,FT,FLOOR,,D,ABOVE_LOWER,identifier_in_text
104,104,YOUNGCHEON,ATZ,YOUNGCHEON ATZ,BASE,1 500,FT,FLOOR,,D,ABOVE_LOWER,identifier_in_text
105,105,P518,P,RK P518,BASE,UNL,,GND,,,,zone_code_exact
106,106,P518E,P,PK P518E,BASE,UNL,,GND,,,,identifier_in_text
107,107,P518W,P,RK P518W,BASE,UNL,,GND,,,,identifier_in_text
108,108,D6,D,RK D6 YEONGDONG,BASE,3000,FT,GND,,,,identifier_in_text
109,109,R1,R,RK R1 YONGMUN,BASE,6000,FT,GND,,,,zone_code_exact
110,110,R10,R,RK R10 MAEBONG,BASE,5000,FT,GND,,,,zone_code_exact
111,111,R100,R,RK R100 NAMHYONGJEDO,BASE,500,FT,GND,,,,zone_code_exact
112,112,R104,R,RK R104 MIYEODO,BASE,150,FL,GND,,,,zone_code_exact
113,113,R105,R,RK R105 JIKDO,BASE,400,FL,GND,,,,zone_code_exact
114,114,R107,R,RK R107 DONG-HAE-BUK-BU,BASE,400,FL,GND,,,,zone_code_exact
115,115,R108A,R,RK R108A ANHEUNG-A,BASE,270,FL,GND,,,,identifier_in_text
116,116,R108B,R,RK R108B ANHEUNG-B,BASE,330,FL,GND,,,,identifier_in_text
117,117,R108C,R,RK R108C ANHEUNG-C,BASE,UNL,,GND,,,,identifier_in_text
118,118,R108D,R,RK R108D ANHEUNG-D,BASE,UNL,,GND,,,,identifier_in_text
119,119,R108E,R,RK R108E ANHEUNG-E,BASE,400,FL,GND,,,,identifier_in_text
120,120,R108F,R,RK R108F ANHEUNG-F,BASE,800,FL,GND,,,,identifier_in_text
121,121,R110,R,RK R110 PILSEUNG,BASE,400,FL,GND,,,,zone_code_exact
122,122,R111,R,RK R111 UNGCHON,BASE,250,FL,GND,,,,zone_code_exact
123,123,R114,R,RK R114 BISEUNG,BASE,3000,FT,GND,,,,zone_code_exact
124,124,R115,R,RK R115 DONGHAE,BASE,380,FL,GND,,,,zone_code_exact
125,125,R116,R,RK R116 DAECHONGDO,BASE,2500,FT,GND,,,,zone_code_exact
126,126,R117,R,RK R117 JAEUNDO,BASE,3000,FT,GND,,,,zone_code_exact
127,127,R118,R,RK R118 JEJU,BASE,2500,FT,GND,,,,zone_code_exact
128,128,R119,R,RK R119 ULSAN,BASE,2500,FT,GND,,,,zone_code_exact
129,129,R120,R,RK R120 DONG-HAE-DONG-BU,BASE,380,FL,GND,,,,zone_code_exact
130,130,R121,R,RK R121 SOKCHO,BASE,2500,FT,GND,,,,zone_code_exact
131,131,R122,R,RK R122 CHEONDUKBONG,BASE,3700,FT,GND,,,,zone_code_exact
132,132,R123,R,RK R123 EOCHUNGDO,BASE,3700,FT,GND,,,,zone_code_exact
133,133,R124,R,RK R124 DEOKJUKDO,BASE,2500,FT,GND,,,,zone_code_exact
134,134,R125,R,RK R125 HEUKSANDO,BASE,3500,FT,GND,,,,zone_code_exact
135,135,R126,R,RK R126 CHUJADO,BASE,3000,FT,GND,,,,zone_code_exact
136,136,R127,R,RK R127 BEOLGYO,BASE,3000,FT,GND,,,,zone_code_exact
137,137,R128,R,RK R128 SEOGUIPO,BASE,7000,FT,GND,,,,zone_code_exact
138,138,R129,R,RK R129 SURYUNSAN,BASE,3500,FT,GND,,,,zone_code_exact
139,139,R131,R,RK R131 BAENGNYEONG,BASE,5000,FT,GND,,,,zone_code_exact
140,140,R132,R,RK R132 DAECHONGDO EAST,BASE,10000,FT,GND,,,,zone_code_exact
141,141,R133,R,RK R133 CHOCHIDO,BASE,500,FT,GND,,,,zone_code_exact
142,142,R134,R,RK R134 YEONPYONGDO,BASE,5000,FT,GND,,,,zone_code_exact
143,143,R135,R,RK R135 GISAMUN,BASE,500,FT,GND,,,,zone_code_exact
144,144,R136,R,RK R136 SAMCHEOK,BASE,500,FT,GND,,,,zone_code_exact
145,145,R137,R,RK R137 WOODO,BASE,5000,FT,GND,,,,zone_code_exact
146,146,R138,R,RK R138 DAECHEON,BASE,4400,FT,SFC,,,,zone_code_exact
147,147,R139,R,RK R139 JINCHEON,BASE,5400,FT,GND,,,,zone_code_exact
148,148,R14,R,RK R14 PYEONGDONG,BASE,By NOTAM,,By NOTAM,,,,zone_code_exact
149,149,R140,R,RK R140 SOKCHO KCG,BASE,300,FT,SFC,,,,zone_code_exact
150,150,R141,R,RK R141 DONGHAE KCG,BASE,300,FT,GND,,,,zone_code_exact
151,151,POHANG,CTA,POHANG SECTOR,BASE,600,FL,1000,FT,A,ABOVE_LOWER,identifier_in_text
152,152,POHANG,CTA,POHANG SECTOR,BASE,600,FL,1000,FT,A,ABOVE_LOWER,identifier_in_text
153,153,POHANG,CTA,POHANG SECTOR,BASE,600,FL,1000,FT,A,ABOVE_LOWER,identifier_in_text
154,154,R143,R,RK R143 BUSAN KCG,BASE,300,FT,GND,,,,zone_code_exact
155,155,R144,R,RK R144 TONGYEONG KCG,BASE,300,FT,SFC,,,,zone_code_exact
156,156,R145,R,RK R145 YEOSU KCG,BASE,300,FT,SFC,,,,zone_code_exact
157,157,R146,R,RK R146 WANDO KCG,BASE,300,FT,SFC,,,,zone_code_exact
158,158,R147,R,RK R147 SEOGWIPO KCG,BASE,300,FT,SFC,,,,zone_code_exact
159,159,R148A,R,RK R148A MOKPO KCG A,BASE,300,FT,SFC,,,,identifier_in_text
160,160,R148B,R,RK R148B MOKPO KCG B,BASE,300,FT,SFC,,,,identifier_in_text
161,161,R149,R,RK R149 JEJU KCG,BASE,300,FT,SFC,,,,zone_code_exact
162,162,R150,R,RK R150 SEOGWIPO KCG BUK-BU,BASE,300,FT,,,,,zone_code_exact
163,163,R151A,R,RK R151A GUNSAN,BASE,100,FT,,,,,identifier_in_text
164,164,R152,R,RK R152 GEOSAN,BASE,2100,FT,SFC,,,,zone_code_exact
165,165,R153,R,RK R153 DAECHONGDO SEOBU,BASE,3000,FT,,,,,zone_code_exact
166,166,R154,R,RK R154 YEONPYONGDO NAMBU,BASE,3000,FT,,,,,zone_code_exact
167,167,R155A,R,RK R155A SEONGJU,BASE,9500,FT,SFC,,,,identifier_in_text
168,168,R155B,R,RK R155B SEONGJU,BASE,196,FL,SFC,,,,identifier_in_text
169,169,R156,R,RK R156 JUMUNJIN,BASE,3500,FT,,,,,zone_code_exact
170,170,R157,R,RK R157 JANGSAN,,6000,FT,,,,,zone_code_exact
171,171,R158,R,RK R158 JONJAE,,6400,FT,,,,,zone_code_exact
172,172,R17,R,RK R17 YEOJU,BASE,150,FL,GND,,,,zone_code_exact
173,173,R19,R,RK R19 JOCHIWON,BASE,3400,FT,GND,,,,zone_code_exact
174,174,R20,R,RK R20 BOEUN,BASE,5000,FT,GND,,,,zone_code_exact
175,175,R21,R,RK R21 EONYANG,BASE,5000,FT,GND,,,,zone_code_exact
176,176,R35,R,RK R35 MAESANRI,BASE,2500,FT,GND,,,,zone_code_exact
177,177,R72,R,RK R72 YOKJIDO,BASE,UNL,,GND,,,,zone_code_exact
178,178,R74,R,RK R74 DONG-HAE-NAM-BU,BASE,500,FL,GND,,,,zone_code_exact
179,179,R75,R,RK R75,BASE,10000,FT,GND,,,,zone_code_exact
180,180,R77,R,RK R77 MACHAJIN,BASE,150,FL,GND,,,,zone_code_exact
181,181,R80,R,RK R80 SEO-HAE-JUNG-BU,BASE,500,FL,GND,,,,zone_code_exact
182,182,R81,R,RK R81 NAKDONG,BASE,220,FL,GND,,,,zone_code_exact
183,183,R84,R,RK R84 SEO-HAE-NAM-BU,BASE,500,FL,GND,,,,zone_code_exact
184,184,R88,R,RK R88 SEO-HAE-BUK-BU,BASE,500,FL,GND,,,,zone_code_exact
185,185,R89,R,RK R89 OCHON,BASE,1000,FT,GND,,,,zone_code_exact
186,186,R90A,R,RK R90A SUSONG-A,BASE,2000,FT,GND,,,,identifier_in_text
187,187,R90B,R,RK R90B SUSONG-B,BASE,5500,FT,GND,,,,identifier_in_text
188,188,R97A,R,RK R97A CHEOLMAE-A,BASE,300,FL,GND,,,,identifier_in_text
189,189,R97B,R,RK R97B CHEOLMAE-B,BASE,UNL,,GND,,,,identifier_in_text
190,190,R97C,R,RK R97C CHEOLMAE-C,BASE,UNL,,GND,,,,identifier_in_text
191,191,R97D,R,RK R97D CHEOLMAE-D,BASE,UNL,,GND,,,,identifier_in_text
