rule_id,zone_id,identifier,airspace_type,airspace_name,composition_op,upper_limit,upper_unit,lower_limit,lower_unit,airspace_class,altitude_interpretation,match_method
260,260,MOA 10,MOA,MOA 10,BASE,400,FL,10000,FT,,,identifier_in_text
261,261,MOA 11,MOA,MOA 11,BASE,400,FL,12000,FT,,,identifier_in_text
262,262,MOA 12E,MOA,MOA 12E,BASE,10000,FT,3000,FT,,,identifier_in_text
263,263,MOA 12E,MOA,MOA 12E,BASE,10000,FT,3000,FT,,,identifier_in_text
264,264,MOA 12W,MOA,MOA 12W,BASE,400,FL,11000,FT,,,identifier_in_text
265,265,MOA 12W,MOA,MOA 12W,BASE,400,FL,11000,FT,,,identifier_in_text
266,266,MOA 13E,MOA,MOA 13E,BASE,400,FL,10000,FT,,,identifier_in_text
267,267,MOA 13E,MOA,MOA 13E,BASE,400,FL,10000,FT,,,identifier_in_text
268,268,MOA 13W,MOA,MOA 13W,BASE,400,FL,11000,FT,,,identifier_in_text
269,269,MOA 13W,MOA,MOA 13W,BASE,400,FL,11000,FT,,,identifier_in_text
270,270,MOA 14,MOA,MOA 14,BASE,330,FL,10000,FT,,,identifier_in_text
271,271,MOA 15,MOA,MOA 15,BASE,400,FL,11000,FT,,,identifier_in_text
272,272,MOA 15A,MOA,MOA 15A,BASE,9000,FT,3000,FT,,,identifier_in_text
273,273,MOA 16,MOA,MOA 16,BASE,400,FL,5000,FT,,,identifier_in_text
274,274,MOA 17,MOA,MOA 17,BASE,500,FL,5000,FT,,,identifier_in_text
275,275,MOA 18,MOA,MOA 18,BASE,400,FL,5000,FT,,,identifier_in_text
276,276,MOA 19H,MOA,MOA 19H,BASE,400,FL,10000,FT,,,identifier_in_text
277,277,MOA 19L,MOA,MOA 19L,BASE,8000,FT,3000,FT,,,identifier_in_text
278,278,MOA 20,MOA,MOA 20,BASE,400,FL,10000,FT,,,identifier_in_text
279,279,MOA 21,MOA,MOA 21,BASE,400,FL,10000,FT,,,identifier_in_text
280,280,MOA 22,MOA,MOA 22,BASE,400,FL,5000,FT,,,identifier_in_text
281,281,MOA 23,MOA,MOA 23,BASE,400,FL,5000,FT,,,identifier_in_text
282,282,MOA 24,MOA,MOA 24,BASE,400,FL,10000,FT,,,identifier_in_text
283,283,MOA 25H,MOA,MOA 25H,BASE,400,FL,10000,FT,,,identifier_in_text
284,284,MOA 25H,MOA,MOA 25H,BASE,400,FL,10000,FT,,,identifier_in_text
285,285,MOA 25L,MOA,MOA 25L,BASE,9000,FT,3000,FT,,,identifier_in_text
286,286,MOA 26H,MOA,MOA 26H,BASE,400,FL,10000,FT,,,identifier_in_text
287,287,MOA 26L,MOA,MOA 26L,BASE,9000,FT,3000,FT,,,identifier_in_text
288,288,MOA 27A,MOA,MOA 27A,BASE,9000,FT,3000,FT,,,identifier_in_text
289,289,MOA 27N,MOA,MOA 27N,BASE,400,FL,11000,FT,,,identifier_in_text
290,290,MOA 27S,MOA,MOA 27S,BASE,400,FL,11000,FT,,,identifier_in_text
291,291,MOA 28,MOA,MOA 28,BASE,400,FL,200,FT,,,identifier_in_text
292,292,MOA 29,MOA,MOA 29,BASE,400,FL,3000,FT,,,identifier_in_text
293,293,MOA 2H,MOA,MOA 2H,BASE,400,FL,10000,FT,,,identifier_in_text
294,294,MOA 2L,MOA,MOA 2L,BASE,9000,FT,3000,FT,,,identifier_in_text
295,295,MOA 30H,MOA,MOA 30H,,400,FL,10000,FT,,,identifier_in_text
296,296,MOA 30L,MOA,MOA 30L,BASE,400,FL,10000,FT,,,identifier_in_text
297,297,MOA 31H,MOA,MOA 31H,BASE,400,FL,10000,FT,,,identifier_in_text
298,298,MOA 31L,MOA,MOA 31L,,9000,FT,2000,FT,,,identifier_in_text
299,299,MOA 32,MOA,MOA 32,BASE,400,FL,1000,FT,,,identifier_in_text
300,300,MOA 33,MOA,MOA 33,BASE,400,FL,1000,FT,,,identifier_in_text
